bar,equity
0,10000.0
1,10042.727183118133
2,10068.855904575663
3,10112.266828247099
4,10181.309823099351
5,10225.246563250577
6,10258.199030383348
7,10244.471521180778
8,10195.874336341398
9,10164.267652830367
10,10177.72988388145
11,10189.955578892886
12,10168.40586434231
13,10163.265285846228
14,10096.111865984278
15,10123.768587377135
16,10137.247478177667
17,10180.79686842301
18,10251.898547808016
19,10241.217581406458
20,10271.964387056203
21,10299.30380076836
22,10217.324303479725
23,10207.799806801127
24,10182.76005403521
25,10168.404089702128
26,10163.134271534744
27,10183.566672232579
28,10217.930516532115
29,10209.322182458704
30,10203.353873379821
31,10172.468025684126
32,10189.653204738699
33,10205.288087298784
34,10255.92861798317
35,10294.899766804896
36,10282.683652503702
