trade_id,direction,open_bar,close_bar,open_time,entry_price,close_price,sl_price,tp1_price,tp2_price,lot_size,pnl,pnl_r,close_reason,tp1_hit,session,quality_score,sweep_event,mae,mfe,equity_after
1,long,104,116,2022-01-05 08:00:00,1842.323,1851.1725738191765,1851.8178300000002,1856.7770120000005,1866.0960160000006,0.06,68.86,1.209,stop_loss,True,london,0.6969728331149344,BOS_BULL,0.713,16.827,10068.86
2,long,656,673,2022-01-28 08:00:00,1909.632,1932.7863316174173,1925.01757,1924.3391629999999,1933.2888839999998,0.06,112.45,1.218,tp2,True,london,0.7,BOS_BULL,0.0,24.328,10181.31
3,long,1255,1265,2022-02-22 07:00:00,2042.154,2055.4749868531085,2055.6146000000003,2059.9681550000005,2070.7475400000003,0.05,76.89,1.142,stop_loss,True,london,0.77,BOS_BULL,0.0,22.226,10258.2
4,long,5241,5242,2022-08-07 09:00:00,2154.195,2147.401245398715,2130.55,2191.9300000000003,2212.3900000000003,0.02,-13.73,-0.29,structure_invalidation,False,london,0.7,BOS_BULL,8.025,0.0,10244.47
5,long,8675,8677,2022-12-28 11:00:00,1822.287,1815.4145450229457,1808.96,1839.646103,1849.874804,0.07,-48.6,-0.521,structure_invalidation,False,london,0.74,BOS_BULL,8.437,3.673,10195.87
6,short,9199,9206,2023-01-19 07:00:00,1760.7,1768.5316708777577,1774.07,1743.4099999999999,1733.1899999999998,0.04,-31.61,-0.591,structure_invalidation,False,london,0.7,BOS_BEAR,9.02,5.14,10164.27
7,short,9443,9487,2023-01-29 11:00:00,1744.529,1719.9376099771268,1719.31251,1717.1211339999998,1701.6215119999997,0.01,25.69,1.019,stop_loss,True,london,0.68,BOS_BEAR,3.671,31.559,10189.96
8,short,9488,9514,2023-01-31 08:00:00,1717.564,1724.6772381835253,1735.85,1692.4700000000005,1678.0100000000007,0.03,-21.55,-0.393,structure_invalidation,False,london,0.7,BOS_BEAR,7.846,14.094,10168.41
9,short,14048,14051,2023-08-09 08:00:00,1555.507,1560.5775784960824,1584.42,1508.3999999999996,1483.0599999999995,0.01,-5.14,-0.178,structure_invalidation,False,london,0.63,BOS_BEAR,5.923,0.0,10163.27
10,long,15129,15134,2023-09-23 09:00:00,1565.657,1559.011658013805,1555.32,1576.1371379999998,1583.0761839999998,0.1,-67.15,-0.65,structure_invalidation,False,london,0.7,BOS_BULL,7.407,5.873,10096.11
